# Run:  mar03_100_a.    Mon Mar 24 20:01:49 2003                                  
# Cu foil, 4 micron, T=30 K slot 2, Cu foil reference                             
# 0.5x3.0 mm slits; monhgap=4mm; region Cuk15                                     
# 96.5 mA                                                                         
# N2 I0 I1 I2; gains 1^-7, 2^-9, 2^-10                                            
# 10-1 unfocused  1.234 -6 Si(220) 1.920156    50000                              
#                                                                                 
# sug ver 1.246 Tot glitches =    0, dead-time with Nb250kmar0                    
# Marked channels:  5  7 14 15 16 17 22 24 25 26 27 28 29 30 31 32.               
# * FLUORESCSENCE; P= -1.00 REMOVED FROM  8800. TO  8900. EV, ORDER=  1           
# CBY:E0= 8983.0;6 ORD FROM  9025.8-  9863.(K=15.2);P=1.0;WT=2;Efix= 9012.3       
# ----------------------------------------------------
#   k            chi
 10.7758493  -0.0100156
 10.8261375  -0.0072668
 10.8763952  -0.0032863
 10.9266653  0.0007250
 10.9769535  0.0023043
 11.0271969  0.0007817
 11.0774784  -0.0034572
 11.1277514  -0.0086528
 11.1779947  -0.0119834
 11.2282410  -0.0110173
 11.2784786  -0.0094517
 11.3287992  -0.0103582
 11.3790436  -0.0111078
 11.4292583  -0.0099358
 11.4795103  -0.0069849
 11.5297651  -0.0018264
 11.5799904  0.0028109
 11.6302633  0.0072182
 11.6805391  0.0129879
 11.7307749  0.0184515
 11.7810240  0.0218467
 11.8312559  0.0211752
 11.8815231  0.0168883
 11.9317932  0.0084073
 11.9820127  -0.0001340
 12.0322037  -0.0053971
 12.0824308  -0.0070042
 12.1326818  -0.0070199
 12.1829042  -0.0062884
 12.2331734  -0.0049414
 12.2834558  -0.0029582
 12.3336868  -0.0014441
 12.3838930  -0.0008441
 12.4341221  -0.0017709
 12.4843235  -0.0019467
 12.5345688  -0.0031339
 12.5848379  -0.0049913
 12.6350489  -0.0063066
 12.6852541  -0.0064238
 12.7354927  -0.0053006
 12.7857637  -0.0029229
 12.8359890  -0.0007447
 12.8861961  0.0005265
 12.9364176  0.0019796
 12.9866314  0.0034633
 13.0368681  0.0066280
 13.0870895  0.0083358
 13.1373234  0.0076186
 13.1875305  0.0059510
 13.2377214  0.0048241
 13.2879362  0.0041524
 13.3381433  0.0030645
 13.3883743  0.0006526
 13.4385872  -0.0016920
 13.4888334  -0.0023067
 13.5390444  -0.0021362
 13.5892487  -0.0019728
 13.6394749  -0.0021360
 13.6896667  -0.0029538
 13.7398624  -0.0028507
 13.7900801  -0.0031549
 13.8402901  -0.0028674
 13.8905315  -0.0033087
 13.9407396  -0.0042422
 13.9909496  -0.0048081
 14.0411549  -0.0052582
 14.0913267  -0.0049471
 14.1415644  -0.0036014
 14.1917419  -0.0014804
 14.2419586  0.0017866
 14.2921696  0.0036205
 14.3423834  0.0044729
 14.3925743  0.0046705
 14.4428205  0.0033707
 14.4929810  0.0015639
 14.5431538  0.0003937
 14.5933561  0.0008558
 14.6435699  0.0022359
 14.6938143  0.0026590
 14.7439985  0.0035788
 14.7941694  0.0032667
 14.8444042  0.0014496
 14.8945894  0.0005499
 14.9448118  -0.0010236
 14.9950209  -0.0022447
 15.0452061  -0.0020533
 15.0953703  -0.0014748
 15.1455441  -0.0015537
